100	97	0.003102011500000
200	187	0.005980166500000
300	256	0.008186752000000
400	327	0.010457296500000
500	403	0.012887738500000
600	466	0.014902447000000
700	525	0.016789237500000
800	583	0.018644048500000
900	632	0.020211044000000
1000	673	0.021522203500000
1100	710	0.022705445000000
1200	746	0.023856707000000
1300	786	0.025135887000000
1400	817	0.026127251500000
1500	859	0.027470390500000
1600	887	0.028365816500000
1700	913	0.029197283500000
1800	942	0.030124689000000
1900	968	0.030956156000000
2000	996	0.031851582000000
2100	1025	0.032778987500000
2200	1044	0.033386598000000
2300	1063	0.033994208500000
2400	1082	0.034601819000000
2500	1106	0.035369327000000
2600	1129	0.036104855500000
2700	1149	0.036744445500000
2800	1164	0.037224138000000
2900	1181	0.037767789500000
3000	1198	0.038311441000000
3100	1216	0.038887072000000
3200	1238	0.039590621000000
3300	1258	0.040230211000000
3400	1275	0.040773862500000
3500	1286	0.041125637000000
3600	1291	0.041285534500000
3700	1300	0.041573350000000
3800	1312	0.041957104000000
3900	1318	0.042148981000000
4000	1330	0.042532735000000
4100	1339	0.042820550500000
4200	1354	0.043300243000000
4300	1365	0.043652017500000
4400	1378	0.044067751000000
4500	1390	0.044451505000000
4600	1403	0.044867238500000
4700	1411	0.045123074500000
4800	1419	0.045378910500000
4900	1425	0.045570787500000
5000	1433	0.045826623500000
5100	1442	0.046114439000000
5200	1453	0.046466213500000
5300	1464	0.046817988000000
5400	1479	0.047297680500000
5500	1488	0.047585496000000
5600	1494	0.047777373000000
5700	1505	0.048129147500000
5800	1511	0.048321024500000
5900	1520	0.048608840000000
6000	1527	0.048832696500000
6100	1535	0.049088532500000
6200	1541	0.049280409500000
6300	1547	0.049472286500000
6400	1551	0.049600204500000
6500	1558	0.049824061000000
6600	1561	0.049919999500000
6700	1574	0.050335733000000
6800	1586	0.050719487000000
6900	1595	0.051007302500000
7000	1598	0.051103241000000
7100	1603	0.051263138500000
7200	1608	0.051423036000000
7300	1613	0.051582933500000
7400	1619	0.051774810500000
7500	1628	0.052062626000000
7600	1639	0.052414400500000
7700	1642	0.052510339000000
7800	1648	0.052702216000000
